Event,Brewery,Beer,Style,ABV
3,11th Hour Brewing Co,New Cult ,NEIPA,7
3,11th Hour Brewing Co,Dream Cannon,Fruited Sour,4.4
3,Union Brothers Brewing,Short Break ,Small IPA,4.7
3,Union Brothers Brewing,Sauced Mimosa,Sour Ale,5.5
3,Dancing Gnome,Double Lustra,DIPA,8.5
3,Dancing Gnome,Astroid,West Coast IPA,7.2
3,Dancing Gnome,Lustra,Pale Ale,5.8
3,Old Thunder Brewing ,2FK,Double IPA,8.2
3,Old Thunder Brewing ,340 Lager,Helles,4.8
3,Laurel Highlands Meadery ,Mead,Mead,7.5
3,Laurel Highlands Meadery ,Hard Lemonade,Hard Lemonade,5
3,Two Frays Brewery,Cashual ,Saison Ale,4.1
3,Two Frays Brewery,Freeze Tag,Raspberry Wheat Ale,5.3
3,Two Frays Brewery,Together Better,Kolsch Style Ale,4.5
4,Two Frays Brewery,It's Always Sunny With A Beer,Session IPA ,4.6
4,Two Frays Brewery,Pitt'd Plum,Fruited Sour,5.3
4,Two Frays Brewery,Together Better,Kolsch Style Ale,4.5
3,East End Brewing Company,Shadyside,Imperial Brown Ale with Coffee,7
3,East End Brewing Company,Seedless,Watermelon Gose,4.1
3,Lolev,Cove,Lager,5
3,Lolev,Pearl,Saison,6.2
3,Lolev,Terra,Saison,6.5
3,Lolev,Vital,Imperial IPA,8.5
3,Lolev,Revive,Hard Seltzer,5.2
3,The Smiling Moose,5150,Hazy IPA,6.6
3,The Smiling Moose,Tall Man IPA,IPA,6.6
3,The Smiling Moose,Emmas,Raspberry Wheat Ale,4.8
3,The Smiling Moose,Dark Goat,Imperial Chocolate Milk Stout,8
3,Spoonwood Brewing Co,Good Eye Sniper,DIPA,8.3
3,Spoonwood Brewing Co,White Hot Rage,Belgian White with Habanero,5.4
3,Arsenal Cider House ,Picket Bone Dry,Cider,8.5
3,Arsenal Cider House ,Grierson’s Ginger ,Cider,8
3,Inner Groove Brewing,Psychotic Reaction,Dark Fruit Dessert Sour,5.3
3,Inner Groove Brewing,Cocomo,Coconut Cream Pie Ale,5.3
3,Inner Groove Brewing,Mirror Queen,English Mild,5
3,Inner Groove Brewing,OUBRU12,NEIPA,7.1
3,Goodlander Cocktail Brewery,Moscow Mule,Moscow Mule,11.5
3,Goodlander Cocktail Brewery,Mojito,Mojito,13
3,Goodlander Cocktail Brewery,Gin & Juice,Gin & Juice,10.5
3,Goodlander Cocktail Brewery,Eastside,Eastside,12
3,Allusion Brewing Company,Yozakura,Cherry Sour,6.2
3,Allusion Brewing Company,First Day,Vanilla Mocha White Stout,4
3,Allusion Brewing Company,One Inning More,American Pale Ale,5
3,Personal Day Seltzers,Grapefruit,Seltzer,5
3,Personal Day Seltzers,Pineapple,Seltzer,5
3,Personal Day Seltzers,Lemon,Seltzer,5
3,Personal Day Seltzers,Lime,Seltzer,5
3,The Leaning Cask Brewing Company,Strawberry Wiggle Butt,Strawberry Basil Berliner Wisse,5.6
3,The Leaning Cask Brewing Company,American Eskimo,Blonde Stout,5.9
3,The Leaning Cask Brewing Company,Um...That's on Fire,West Coast IPA,5.6
3,The Leaning Cask Brewing Company,Greyhound,Earl Grey Tea English Bitter,5.8
3,Levity Brewing Company,Haze Frehley,IPA,6.8
3,Levity Brewing Company,Dioecious Hoppy,Sour,5.4
3,Levity Brewing Company,Tang Glider: Strawberry,Fruited Sour,4.2
3,Levity Brewing Company,422 Vienna,Lager,5.5
3,Narcisi Winery,Stella,Dry Red Blend,15.2
3,Narcisi Winery,Chardonnay,Dry White,13
3,Narcisi Winery,Granato,Semi-Dry Red,11.5
3,Narcisi Winery,Reisling,Sem-Dry White,11.7
3,Narcisi Winery,Peach,Sweet Fruit,11.5
3,Back Alley Brewing Company,Aqua Space Rock,Belgian Witbier,5.4
3,Back Alley Brewing Company,Hair of the Dog,Scottish Ale,5.8
3,Back Alley Brewing Company,Through the Fog,NEIPA,6.1
3,Back Alley Brewing Company,Back Alley IPA,American IPA,6
3,Rusty Gold Brewing,1802 Cream Ale,Light Ale,4.7
3,Rusty Gold Brewing,Blood Orange Wheat,American Wheat,5.4
3,Rusty Gold Brewing,Cucumber Falls Wheat,American Wheat,5.3
3,Rusty Gold Brewing,Yorkshire Peppermint Porter,Milk Stout,5.1
3,Abjuration Brewing,Smoothie Style Sour,Key Lime Cheesecake,7.1
3,Abjuration Brewing,Candied Sour,Bubblegum/Meyer Lemon/Marshmallow,5.6
3,BrewDog Pittsburgh,Double Yinzer,Double Session,8
3,BrewDog Pittsburgh,Scrufferator ,Dopplebock,6.4
3,BrewDog Pittsburgh,"Send Lemons, Grahams, and Honey",Belgian Golden Ale,7.2
3,Sobel’s Obscure Brewery ,Honey Blossom,Honey and Blood Orange Wheat,6
3,Sobel’s Obscure Brewery ,Red Cap Sour,Sour Ale with Sweet Cherry & Blood Orange,4
3,Altered Genius ,Dinklage Session,IPA,5.8
3,Altered Genius ,Prim German,Pilsner,5.1
3,Altered Genius ,Hoptruvian,American IPA,7.2
3,28 Bridges Brewery,City of Bridges,Hazy IPA,5.8
3,28 Bridges Brewery,Rise,Coffee Blonde Ale,5.1
3,Four Seasons Brewing Company,Latrobe Lager,Pilsner,5.4
3,Four Seasons Brewing Company,Norwegian Lights,IPA,6.4
3,Conny Creek Brewing Co.,Neverclear,Hazy IPA,6.8
3,Conny Creek Brewing Co.,Peak,Dry Hopped Lager,5
3,Conny Creek Brewing Co.,Pillar,American Amber Lager,4.7
3,Conny Creek Brewing Co.,Summer Ale,American Wheat,5.25
3,Conny Creek Brewing Co.,Coffee Camp,Imperial Stout,8
3,Conny Creek Brewing Co.,Intangible,Belgian,8.8
3,Coven Brewing,River of Ferns,Saison,6.5
3,Coven Brewing,City Steps,IPA,7.2
3,Mindful Brewing Co.,Straight Kolsch,Kolsch,5
3,Mindful Brewing Co.,Drop Beer,DIPA,9.8
3,Mindful Brewing Co.,Zemu,Hard Zeltzer,5
3,Grist House Craft Brewry,Double Hazedelic Juice Grenade,DIPA,8
3,Grist House Craft Brewry,Plumbus Shaman,Fruited Sour,5
3,Grist House Craft Brewry,8th Anniversary Reserve BA Stout,Barrel-Aged Stout,10.5
3,Full Pint Beer,Gold Rebellion,Malt Liquor,10
3,Full Pint Beer,Smackdown Sour Peach Punched Ale,Sour,4.8
3,Full Pint Beer,Lemon Refresher,Shandy,5
3,ShuBrew ,Magic Mushroom, Pixelated IPA,7
3,ShuBrew ,Super Duper,Hazy Pale Ale,5.4
3,ShuBrew ,Shupacabra,Mexican-Style Lager,6
3,ShuBrew ,Sucker Punch,Watermelon Lemonade Fruited Seltzer,5
3,ShuBrew ,Sex Dungeons and Dragons,Barrel Aged Sour with Peach and Dragonfruit ,10
3,Allegheny City Brewing ,Lite Brite,Helles,5.7
3,Allegheny City Brewing ,Singletrack Riwaka,Hazy IPA,6.3
3,Allegheny City Brewing ,Starlake,Raspberry Wheat Ale,5.9
3,Brew Gentlemen,General Braddock's,American IPA,6.8
3,Brew Gentlemen,BG Summer Pils,Lager,5.2
3,Brew Gentlemen,VIII,2 Year Barrel-Aged English Barleywine,10
3,Recon Brewing ,Dink Dank Dunk,Hazy Session Pale Ale,5.25
3,Recon Brewing ,London Underground,Extra Special Bitter,6
3,Invisible Man Brewing,90 Miles to Cuba,Key Lime Pie Sour,5.5
3,Invisible Man Brewing,Solaris,Pale Ale,5.7
3,Invisible Man Brewing,Pineapple Upside Down Cake,Dessert Sour ,5.4
3,Invisible Man Brewing,Room 237,West Coast IPA,6.6
3,Cobblehause Brewing,Black Bear,Black IPA,7.5
3,Cobblehause Brewing,C-V,German Pilsner,5.3
3,Cobblehause Brewing,Roohp,NEIPA,6.2
3,Cobblehause Brewing,Experiment #1,Chocolate Hefeweizen,5.1
