Event,Brewery,Beer,Style,ABV
4,Crooked Tongue Brewing,Vanilla Sticky Breakfast Fingers,Imperial Stout,9
4,Crooked Tongue Brewing,Pineapple Fuzzy Daze,Hazy IPA,7.2
4,Mastic Trail Brewing,Bermuda Triangle,Hazy IPA,7
4,Mastic Trail Brewing,Off the MAP,Mango Apricot Peach Sour,7
4,Mastic Trail Brewing,Jake Sullivan's,Mexican Lager,5
4,Mastic Trail Brewing,White Bay,Wit,5.1
4,Helltown Brewing,Sin,West Coast IPA,6.8
4,Helltown Brewing,A Visit and Liliths Cherriot,Tart Cherry Ale,6
4,Hitchhiker Brewing Company,Bane of Existence,IPA,6.6
4,Hitchhiker Brewing Company,True,Pilsner,4.5
4,Hitchhiker Brewing Company,Just Filling: Blueberry Peach,Smoothie Sour,7
4,Hitchhiker Brewing Company,Theories without Data,DDH DIPA,8.5
4,Golden Age ,Helles,Bavarian Helles,5.2
4,Golden Age ,Pale Ale,American Pale Ale,5.2
4,Cellar Works,Passion Fruit/Mango Fruit Whip,Smoothie Sour,6
4,Cellar Works,Moon Cannon,IPA,6.2
4,Cellar Works,Big Stream,Kolsch,4.8
4,Acclamation Brewing ,Hoppy Little Beer,Session IPA,5.3
4,Acclamation Brewing ,Lemon Meringue Milkshake,Milkshake IPA,5.8
4,KingView Mead,Trocken Mead,Dry Standard,12.5
4,KingView Mead,Blue and White Mead,Blueberries,8.5
4,Cinderlands Beer Co.,Comet Cabana,Tartshake Fruited Sour,6.9
4,Cinderlands Beer Co.,Play Ways,West-Coast Pale Ale,5
